"source","object_id","original_location_str","site","no_samples","results","street_name","street_suffix","notes","geometry"
"Property Water Samples",932,"727 WAINEE ST","TMK 4-6-009:021",2,"<p> Sample Date: 4/30/24 <br> Sample ID: SL_M1779_0430_SVOC_1 <br> Laboratory ID: 4E03072-02 <br> Reporting value: All SVOCs are ND(not detected at or above the reporting limit)  <p> Sample Date: 4/30/2024<br> Sample ID: SL_M1779_0430_VOC_1<br> Laboratory ID: 2405020-06<br> Reporting value: All VOCs are ND (Non-detect)","727 WAINEE","ST",NA,c(-156.677181, 20.8753116)
"Property Water Samples",933,"626A LUAKINI STREET","TMK: 4-6-008:017",2,"<p> Sample Date: 04/30/2024 <br> Sample ID: SL_M1890_0430_SVOC_1 <br> Laboratory ID: 4E03074-01 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date: 4/30/2024<br> Sample ID: SL_M1890_0430_VOC_1<br> Laboratory ID: 2405020-01<br> Reporting value: All VOCs are ND (Non-detect)","626A LUAKINI","ST",NA,c(-156.6758791, 20.8724458)
"Property Water Samples",934,"636 LUAKINI STREET","TMK: 4-6-008:043",2,"<p> Sample Date: 04/30/2024 <br> Sample ID: SL_M1889_0430_SVOC_1 <br> Laboratory ID: 4E03074-02 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date: 4/30/2024<br> Sample ID: SL_M1889_0430_VOC_1<br> Laboratory ID: 2405020-04<br> Reporting value: All VOCs are ND (Non-detect)","636 LUAKINI","ST",NA,c(-156.6758643, 20.8724551)
"Property Water Samples",935,"1640 KUUIPO STREET","TMK: 4-5-028:010",1,"<p> Sample Date: 04/30/2024 <br> Sample ID: SL_M0178_0430_SVOC_1 <br> Laboratory ID: 4E03075-01 <br> Reporting value: All SVOCs are ND (Non-detect)","1640 KUUIPO","ST",NA,c(-156.682213, 20.8985217)
"Property Water Samples",936,"WAINEE STREET","TMK: 4-6-010:001",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1761_0503_SVOC_1 <br> Laboratory ID: 4E08069-01 <br> Reporting value: All SVOCs are ND (Non-detect)<p> Sample Date: 5/03/24 <br> Sample ID: SL_M1761_0503_VOC_1 <br> Laboratory ID: 2405036-01 <br> Reporting value: All VOCs are ND (Non-detect)  ","WAINEE","ST",NA,c(-156.6772464, 20.8755404)
"Property Water Samples",937,"910 WAINEE STREET","TMK: 4-5-007:001",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1632_0503_SVOC_1 <br> Laboratory ID: 4E08071-01 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date:5/3/2024<br> Sample ID: SL_M1632_0503_VOC_1<br> Laboratory ID: 2405040-05<br> Reporting value: All VOCs are ND (Non-detect)","910 WAINEE","ST",NA,c(-156.6795599, 20.8787637)
"Property Water Samples",938,"972 FRONT STREET","TMK: 4-5-002:004",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1649_0503_SVOC_1 <br> Laboratory ID: 4E08072-01 <br> Reporting value: All SVOCs are ND (Non-detect)<p> Sample Date: 5/03/24 <br> Sample ID: SL_M1649_0503_VOC_1 <br> Laboratory ID: 2405039-11 <br> Reporting value: All VOCs are ND (Non-detect)  ","972 FRONT","ST",NA,c(-156.6823609, 20.8783843)
"Property Water Samples",939,"761 WAINEE STREET","TMK: 4-6-009:054",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1743_0503_SVOC_1 <br> Laboratory ID: 4E08073-01 <br> Reporting value: All SVOCs are ND (Non-detect)<p> Sample Date: 5/03/24 <br> Sample ID: SL_M1743_0503_VOC_1 <br> Laboratory ID: 2405035-01 <br> Reporting value: All VOCs are ND (Non-detect)  ","761 WAINEE","ST",NA,c(-156.6777004, 20.8758479)
"Property Water Samples",940,"771 WAINEE STREET","TMK: 4-6-009:040",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1740_0503_SVOC_1 <br> Laboratory ID: 4E08075-01 <br> Reporting value: All SVOCs are ND (Non-detect)<p> Sample Date: 5/03/24 <br> Sample ID: SL_M1740_0503_VOC_1 <br> Laboratory ID: 2405035-02 <br> Reporting value: All VOCs are ND (Non-detect)  ","771 WAINEE","ST",NA,c(-156.677765, 20.87593)
"Property Water Samples",941,"188 PANAEWA STREET","TMK: 4-6-009:053",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1753_0503_SVOC_1 <br> Laboratory ID: 4E08075-02 <br> Reporting value: All SVOCs are ND (Non-detect)<p> Sample Date: 5/03/24 <br> Sample ID: SL_M1753_0503_VOC_1 <br> Laboratory ID: 2405035-03 <br> Reporting value: All VOCs are ND (Non-detect)  ","188 PANAEWA","ST",NA,c(-156.6778837, 20.8757202)
"Property Water Samples",942,"885 WAINEE STREET","TMK: 4-5-001:019",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1666_0503_SVOC_1 <br> Laboratory ID: 4E08076-01 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date:5/3/2024<br> Sample ID: SL_M1666_0503_VOC_1<br> Laboratory ID: 2405041-04<br> Reporting value: All VOCs are ND (Non-detect)","885 WAINEE","ST",NA,c(-156.6796498, 20.8779529)
"Property Water Samples",943,"668 LUAKINI STREET","TMK: 4-6-008:024",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1863_0503_SVOC_1 <br> Laboratory ID: 4E08076-02 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date:5/3/2024<br> Sample ID: SL_M1863_0503_VOC_1<br> Laboratory ID: 2405041-06<br> Reporting value: All VOCs are ND (Non-detect)","668 LUAKINI","ST",NA,c(-156.6769692, 20.873078)
"Property Water Samples",944,"170 HALE STREET","TMK: 4-6-008:036",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1858_0503_SVOC_1 <br> Laboratory ID: 4E08078-01 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date:5/3/2024<br> Sample ID: SL_M1858_0503_VOC_1<br> Laboratory ID: 2405041-01<br> Reporting value: All VOCs are ND (Non-detect)","170 HALE","ST",NA,c(-156.6763799, 20.8731838)
"Property Water Samples",945,"930 WAINEE STREET","TMK: 4-5-007:009",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1593_0503_SVOC_1 <br> Laboratory ID: 4E08078-02 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date:5/3/2024<br> Sample ID: SL_M1593_0503_VOC_1<br> Laboratory ID: 2405041-03<br> Reporting value: All VOCs are ND (Non-detect)","930 WAINEE","ST",NA,c(-156.6800944, 20.8796168)
"Property Water Samples",946,"632 WAINEE STREET","TMK: 4-6-011:032",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1881_0503_SVOC_1 <br> Laboratory ID: 4E08079-01 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date:5/3/2024<br> Sample ID: SL_M1881_0503_VOC_1<br> Laboratory ID: 2405040-03<br> Reporting value: All VOCs are ND (Non-detect)","632 WAINEE","ST",NA,c(-156.6748896, 20.8726207)
"Property Water Samples",947,"WAINEE STREET (OLD LAHAINA CTR)","TMK: 4-5-001:018",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1695_0503_SVOC_1 <br> Laboratory ID: 4E08079-02 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date:5/3/2024<br> Sample ID: SL_M1695_0503_VOC_1<br> Laboratory ID: 2405040-04<br> Reporting value: All VOCs are ND (Non-detect)","WAINEE","ST",NA,c(-156.6784569, 20.8769305)
"Property Water Samples",948,"751 D WAINEE STREET","TMK: 4-6-009:033",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1764_0503_SVOC_1 <br> Laboratory ID: 4E08080-01 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date:5/3/2024<br> Sample ID: SL_M1764_0503_VOC_1<br> Laboratory ID: 2405041-07<br> Reporting value: All VOCs are ND (Non-detect)","751 D WAINEE","ST",NA,c(-156.6773759, 20.875558)
"Property Water Samples",949,"207 PANAEWA PLACE","TMK: 4-6-010:020",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1727_0503_SVOC_1 <br> Laboratory ID: 4E08080-02 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date:5/3/2024<br> Sample ID: SL_M1727_0503_VOC_1<br> Laboratory ID: 2405041-08<br> Reporting value: All VOCs are ND (Non-detect)","207 PANAEWA","PL",NA,c(-156.6774848, 20.876282)
"Property Water Samples",950,"153 PANAEWA STREET","TMK: 4-6-009:046",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1778_0503_SVOC_1 <br> Laboratory ID: 4E08081-01 <br> Reporting value: All SVOCs are ND (Non-detect)<p> Sample Date: 5/03/2024 <br> Station ID: SL_M1778_0503_VOC_1 <br> Laboratory ID: 2405039-03 <br> Analyte: Dichloromethane <br> Result: 0.89 ug/L <br> RL: 0.50 ug/L","153 PANAEWA","ST",NA,c(-156.6786104, 20.8753117)
"Property Water Samples",951,"172 PANAEWA STREET","TMK: 4-6-009:050",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1765_0503_SVOC_1 <br> Laboratory ID: 4E08081-02 <br> Reporting value: All SVOCs are ND (Non-detect)<p> Sample Date: 5/03/24 <br> Sample ID: SL_M1765_0503_VOC_1 <br> Laboratory ID: 2405039-03 <br> Reporting value: All VOCs are ND (Non-detect)  ","172 PANAEWA","ST",NA,c(-156.6782124, 20.8754745)
"Property Water Samples",952,"48 AHOLO ROAD","TMK: 4-6-004:029",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M2254_0503_SVOC_1 <br> Laboratory ID: 4E08083-01 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date:5/3/2024<br> Sample ID: SL_M2254_0503_VOC_1<br> Laboratory ID: 2405040-01<br> Reporting value: All VOCs are ND (Non-detect)","48 AHOLO","RD",NA,c(-156.6698338, 20.8635646)
"Property Water Samples",953,"PANAEWA STREET","PANAEWA STREET",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1748_0503_SVOC_1 <br> Laboratory ID: 4E08083-02 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date:5/3/2024<br> Sample ID: SL_M1748_0503_VOC_1<br> Laboratory ID: 2405040-02<br> Reporting value: All VOCs are ND (Non-detect)","PANAEWA","ST",NA,c(-156.6779797, 20.8757591)
"Property Water Samples",954,"241 PANAEWA PLACE","TMK: 4-6-010:013",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1702_0503_SVOC_1 <br> Laboratory ID: 4E08084-01 <br> Reporting value: All SVOCs are ND (Non-detect)<p> Sample Date: 5/03/2024 <br> Station ID: SL_M1702_0503_VOC_1 <br> Laboratory ID: 2405039-09 <br> Analyte: Dichloromethane <br> Result: 0.81 ug/L <br> RL: 0.50 ug/L","241 PANAEWA","PL",NA,c(-156.6768083, 20.8768553)
"Property Water Samples",955,"960 FRONT STREET","TMK: 4-5-002:010",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1665_0503_SVOC_1 <br> Laboratory ID: 4E08084-02 <br> Reporting value: All SVOCs are ND (Non-detect)<p> Sample Date: 5/03/24 <br> Sample ID: SL_M1665_0503_VOC_1 <br> Laboratory ID: 2405039-10 <br> Reporting value: All VOCs are ND (Non-detect)  ","960 FRONT","ST",NA,c(-156.6820689, 20.8780286)
"Property Water Samples",956,"WAINEE STREET","TMK: 4-5-007:004",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1588_0503_SVOC_1 <br> Laboratory ID: 4E08085-01 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date:5/3/2024<br> Sample ID: SL_M1588_0503_VOC_1<br> Laboratory ID: 2405041-02<br> Reporting value: All VOCs are ND (Non-detect)","WAINEE","ST",NA,c(-156.6800779, 20.8795864)
"Property Water Samples",957,"WAINEE STREET","TMK: 4-6-010:002",2,"<p> Sample Date: 05/04/2024 <br> Sample ID: SL_M1735_0504_SVOC_1 <br> Laboratory ID: 4E08086-01 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date:5/4/2024<br> Sample ID: SL_M1735_0504_VOC_1<br> Laboratory ID: 2405044-01<br> Reporting value: All VOCs are ND (Non-detect)","WAINEE","ST",NA,c(-156.6775171, 20.8760208)
"Property Water Samples",958,"605 LUAKINI STREET","TMK: 4-6-008:057",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1944_0503_SVOC_1 <br> Laboratory ID: 4E08087-01 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date:5/3/2024<br> Sample ID: SL_M1944_0503_VOC_1<br> Laboratory ID: 2405041-09<br> Reporting value: All VOCs are ND (Non-detect)","605 LUAKINI","ST",NA,c(-156.6757098, 20.8713153)
"Property Water Samples",959,"410 W AKI STREET","TMK: 4-5-024:004",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1369_0503_SVOC_1 <br> Laboratory ID: 4E08087-02 <br> Reporting value: All SVOCs are ND (Non-detect) <p> Sample Date:5/3/2024<br> Sample ID: SL_M1369_0503_VOC_1<br> Laboratory ID: 2405041-10<br> Reporting value: All VOCs are ND (Non-detect)","410 W AKI","ST",NA,c(-156.6752497, 20.8816141)
"Property Water Samples",960,"N FRONT STREET","N FRONT STREET",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1845_0503_SVOC_1 <br> Laboratory ID: 4E08088-01 <br> Reporting value: All SVOCs are ND (Non-detect)<p> Sample Date: 5/03/24 <br> Sample ID: SL_M1845_0503_VOC_1 <br> Laboratory ID: 2405039-05 <br> Reporting value: All VOCs are ND (Non-detect)  ","N FRONT","ST",NA,c(-156.6779982, 20.8734422)
"Property Water Samples",961,"628 D/E WAINEE STREET","TMK: 4-6-011:018",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1882_0503_SVOC_1 <br> Laboratory ID: 4E08088-03 <br> Reporting value: All SVOCs are ND (Non-detect)<p> Sample Date: 5/03/24 <br> Sample ID: SL_M1882_0503_VOC_1 <br> Laboratory ID: 2405039-08 <br> Reporting value: All VOCs are ND (Non-detect)  ","628 D/E WAINEE","ST",NA,c(-156.6749295, 20.8726253)
"Property Water Samples",962,"187 PANAEWA STREET","TMK: 4-6-009:041",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1750_0503_SVOC_1 <br> Laboratory ID: 4E08090-01 <br> Reporting value: All SVOCs are ND (Non-detect)<p> Sample Date: 5/03/2024 <br> Station ID: SL_M1750_0503_VOC_1 <br> Laboratory ID: 2405039-01 <br> Analyte: Dichloromethane <br> Result: 0.35 ug/L <br> RL: 0.50 ug/L","187 PANAEWA","ST",NA,c(-156.677934, 20.875829)
"Property Water Samples",963,"182 PANAEWA STREET","TMK: 4-6-009:052",2,"<p> Sample Date: 05/03/2024 <br> Sample ID: SL_M1756_0503_SVOC_1 <br> Laboratory ID: 4E08090-02 <br> Reporting value: All SVOCs are ND (Non-detect)<p> Sample Date: 5/03/24 <br> Sample ID: SL_M1756_0503_VOC_1 <br> Laboratory ID: 2405039-02 <br> Reporting value: All VOCs are ND (Non-detect)  ","182 PANAEWA","ST",NA,c(-156.6779829, 20.8756652)
"Property Water Samples",964,"1582 MALO STREET A","TMK: 4-5-014:083",1,"<p> Sample Date: 04/04/2024 <br> Sample ID: SL_M0153_0404_VOC_1 <br> Laboratory ID: 2404017-03 <br> Reporting value: All VOCs are ND (Non-detect)","1582 MALO","ST",NA,c(-156.6845372, 20.8988914)
"Property Water Samples",965,"1558 MALO STREET","TMK: 4-5-014:013",1,"<p> Sample Date: 04/04/2024 <br> Sample ID: SL_M0206_0404_VOC_1 <br> Laboratory ID: 2404017-04 <br> Reporting value: All VOCs are ND (Non-detect)","1558 MALO","ST",NA,c(-156.6845707, 20.8977626)
"Property Water Samples",966,"1558 MALO STREET (2ND METER)","TMK: 4-5-014:013",1,"<p> Sample Date: 04/04/2024 <br> Sample ID: SL_M0217_0404_VOC_1 <br> Laboratory ID: 2404017-05 <br> Analyte: Toluene  <br> Result: 21.0 ug/L <br> RL: 2.5 ug/L","1558 MALO","ST",NA,c(-156.684569, 20.8977402)
"Property Water Samples",967,"22 KEKAI ROAD","TMK: 4-5-014:072",1,"<p> Sample Date: 04/04/2024 <br> Sample ID: SL_M0240_0404_VOC_1 <br> Laboratory ID: 2404017-06 <br> Reporting value: All VOCs are ND (Non-detect)","22 KEKAI","RD",NA,c(-156.6845258, 20.8968917)
"Property Water Samples",968,"1530 MALO STREET","TMK: 4-5-014:086",1,"<p> Sample Date: 04/04/2024 <br> Sample ID: SL_M0270_0404_VOC_1 <br> Laboratory ID: 2404017-07 <br> Analyte: Toluene  <br> Result: 2.3 ug/L <br> RL: 0.5 ug/L","1530 MALO","ST",NA,c(-156.6845886, 20.8962797)
"Property Water Samples",969,"1528 MALO STREET","TMK: 4-5-014:087",1,"<p> Sample Date: 04/04/2024 <br> Sample ID: SL_M0272_0404_VOC_1 <br> Laboratory ID: 2404017-08 <br> Analyte: Dichloromethane  <br> Result: 0.3 ug/L <br> RL: 0.5 ug/L","1528 MALO","ST",NA,c(-156.6846273, 20.8963409)
"Property Water Samples",972,"1536 MALO ST","TMK 4-5-014:011",1,"<p> Sample Date: 4/04/24 <br> Sample ID: SL_M0251_0404_VOC_1 <br> Laboratory ID: 2404018-03 <br> Reporting value: All VOCs are ND (Non-detect) ","1536 MALO","ST",NA,c(-156.6846107, 20.8966654)
"Property Water Samples",973,"104 WAHIKULI RD","TMK 4-5-014:002",1,"<p> Sample Date: 4/04/24 <br> Sample ID: SL_M0320_0404_VOC_1 <br> Laboratory ID: 2404018-04 <br> Reporting value: All VOCs are ND (Non-detect) ","104 WAHIKULI","RD",NA,c(-156.6843247, 20.8949845)
"Property Water Samples",974,"120 FLEMING RD","TMK 4-5-014:041",1,"<p> Sample Date: 4/04/2024 <br> Station ID: SL_M0357_0404_VOC_1 <br> Laboratory ID: 2404018-07 <br> Analyte: Dichloromethane, Toluene <br> Result: 0.42 ug/L & 34.0 ug/L respectively <br> RL: 0.50 ug/L & 2.5 ug/L respectively","120 FLEMING","RD",NA,c(-156.6835994, 20.8936691)
"Property Water Samples",975,"HAUOLA PLACE","HAUOLA PLACE",2,"<p> Sample Date: 05/08/2024 <br> Station ID: SL_M1466_0508_SVOC_1 <br> Laboratory ID: 2405013-03 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 5/8/2024<br> Sample ID: SL_M1466_0508_VOC_1<br> Laboratory ID: 2405051-03RE1<br> Reporting value: All VOCs are ND (Non-detect)","HAUOLA","PL",NA,c(-156.6735478, 20.8807713)
"Property Water Samples",976,"SOUTH FRONT STREET","SOUTH FRONT STREET",2,"<p> Sample Date: 05/08/2024 <br> Station ID: SL_M1869_0508_SVOC_1 <br> Laboratory ID: 2405013-04 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 5/8/2024<br> Sample ID: SL_M1869_0508_VOC_1<br> Laboratory ID: 2405051-04RE1<br> Reporting value: All VOCs are ND (Non-detect)","SOUTH FRONT","ST",NA,c(-156.6779905, 20.8728843)
"Property Water Samples",977,"DICKENSON STREET LOT 1-B","TMK: 4-6-026:071",2,"<p> Sample Date: 05/09/2024 <br> Station ID: SL_M1518_0509_SVOC_1 <br> Laboratory ID: 2405014-07 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 5/9/2024<br> Sample ID: SL_M1518_0509_VOC_1<br> Laboratory ID: 2405053-07RE1<br> Reporting value: All VOCs are ND (Non-detect)","DICKENSON","ST",NA,c(-156.6711303, 20.8803917)
"Property Water Samples",978,"487 DICKENSON STREET","TMK: 4-6-026:016",2,"<p> Sample Date: 05/09/2024 <br> Station ID: SL_M1541_0509_SVOC_1 <br> Laboratory ID: 2405014-08 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 5/9/2024<br> Sample ID: SL_M1541_0509_VOC_1<br> Laboratory ID: 2405053-08RE1<br> Reporting value: All VOCs are ND (Non-detect)","487 DICKENSON","ST",NA,c(-156.671113, 20.8800843)
"Property Water Samples",979,"440 HAOLA PLACE","TMK: 4-5-023:015",1,"<p> Sample Date: 05/09/2024 <br> Station ID: SL_M1523_0509_SVOC_1 <br> Laboratory ID: 2405014-10 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 5/9/2024<br> Sample ID: SL_M1523_0509_VOC_1<br> Laboratory ID: 2405053-06RE1<br> Reporting value: All VOCs are ND (Non-detect)","440 HAOLA","PL",NA,c(-156.6743453, 20.8803149)
"Property Water Samples",980,"560 LUAKINI STREET","TMK: 4-6-007:020",2,"<p> Sample Date: 05/09/2024 <br> Station ID: SL_M1963_0509_SVOC_1 <br> Laboratory ID: 2405014-11 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 5/9/2024<br> Sample ID: SL_M1963_0509_VOC_1<br> Laboratory ID: 2405052-01RE1<br> Reporting value: All VOCs are ND (Non-detect)","560 LUAKINI","ST",NA,c(-156.6743596, 20.8708001)
"Property Water Samples",981,"555 LUAKINI STREET","TMK: 4-6-007:014",2,"<p> Sample Date: 05/09/2024 <br> Station ID: SL_M1964_0509_SVOC_1 <br> Laboratory ID: 2405014-14 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 5/9/2024<br> Sample ID: SL_M1964_0509_VOC_1<br> Laboratory ID: 2405052-06RE1<br> Reporting value: All VOCs are ND (Non-detect)","555 LUAKINI","ST",NA,c(-156.674347, 20.8707204)
"Property Water Samples",982,"180 HALE STREET","TMK: 4-6-008:039",2,"<p> Sample Date: 05/10/2024 <br> Station ID: SL_M1846_0510_SVOC_1 <br> Laboratory ID: 2405016-01 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 5/10/2024<br> Sample ID: SL_M1846_0510_VOC_1<br> Laboratory ID: 2405055-02RE1<br> Reporting value: All VOCs are ND (Non-detect)","180 HALE","ST",NA,c(-156.6759395, 20.8734198)
"Property Water Samples",983,"187 HALE STREET","TMK: 4-6-008:033",2,"<p> Sample Date: 05/10/2024 <br> Station ID: SL_M1843_0510_SVOC_1 <br> Laboratory ID: 2405016-02  <br> Analyte: Bis(2-ethylhexyl)phthalate, Heptachlor, AND Hexachlorobenzene <br> Result: 0.219 ug/L, 0.095 ug/L and 0.057 ug/L respectively <br> RL: 4.75 ug/L, 0.190 ug/L and 0.190 ug/L respectively <p> Sample Date: 5/10/2024<br> Sample ID: SL_M1843_0510_VOC_1<br> Laboratory ID: 2405055-01RE1<br> Reporting value: All VOCs are ND (Non-detect)","187 HALE","ST",NA,c(-156.6760266, 20.8734642)
"Property Water Samples",984,"266 DICKENSON STREET","TMK: 4-6-011:011",2,"<p> Sample Date: 05/10/2024 <br> Station ID: SL_M1768_0510_SVOC_1 <br> Laboratory ID: 2405016-03 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)   <p> Sample Date: 5/10/2024 <br> Sample ID: SL_M1768_0510_VOC_1 <br> Laboratory ID: 2405055-03RE1 <br> Analyte: Benzene & Toluene <br> Result: 0.26 & 0.34 ug/L respectively <br> RL: 0.50 ug/L","266 DICKENSON","ST",NA,c(-156.6757203, 20.8754229)
"Property Water Samples",985,"810 KUHUA STREET","TMK: 4-5-025:006",2,"<p> Sample Date: 05/10/2024 <br> Station ID: SL_M1620_0510_SVOC_1 <br> Laboratory ID: 2405016-04 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 5/10/2024 <br> Sample ID: SL_M1620_0510_VOC_1 <br> Laboratory ID: 2405055-04RE1 <br> Analyte: Dichloromethane <br> Result: 1.5 ug/L <br> RL: 0.50 ug/L","810 KUHUA","ST",NA,c(-156.6754472, 20.8789838)
"Property Water Samples",986,"407 PAEOHI STREET","TMK: 4-5-023:068",2,"<p> Sample Date: 05/10/2024 <br> Station ID: SL_M1459_0510_SVOC_1 <br> Laboratory ID: 2405016-05 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 5/10/2024 <br> Sample ID: SL_M1459_0510_VOC_1 <br> Laboratory ID: 2405055-05RE1 <br> Analyte: Toluene <br> Result: 0.33 ug/L <br> RL: 0.50 ug/L","407 PAEOHI","ST",NA,c(-156.674794, 20.8808639)
"Property Water Samples",987,"609 KAAKOLU STREET","TMK: 4-5-029:049",2,"<p> Sample Date: 05/10/2024 <br> Station ID: SL_M1134_0510_SVOC_1 <br> Laboratory ID: 2405016-06 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 5/10/2024<br> Sample ID: SL_M1134_0510_VOC_1<br> Laboratory ID: 2405055-06RE1<br> Reporting value: All VOCs are ND (Non-detect)","609 KAAKOLU","ST",NA,c(-156.6696647, 20.8835312)
"Property Water Samples",988,"LAH BOAT HARBOR COMFORT STN","TMK: 4-6-001:001",2,"<p> Sample Date: 05/10/2024 <br> Station ID: SL_M1947_0510_SVOC_1 <br> Laboratory ID: 2405016-07 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 5/10/2024<br> Sample ID: SL_M1947_0510_VOC_1<br> Laboratory ID: 2405055-07RE1<br> Reporting value: All VOCs are ND (Non-detect)","LAH BOAT HARBOR COMFORT STN",NA,NA,c(-156.677861, 20.8712123)
"Property Water Samples",989,"FRONT STREET (BANYAN COURTYARD)","TMK: 4-6-001:009",2,"<p> Sample Date: 05/10/2024 <br> Station ID: SL_M1922_0510_SVOC_1 <br> Laboratory ID: 2405016-08 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 5/10/2024<br> Sample ID: SL_M1922_0510_VOC_1<br> Laboratory ID: 2405055-08RE1<br> Reporting value: All VOCs are ND (Non-detect)","FRONT","ST",NA,c(-156.6780737, 20.8717326)
"Property Water Samples",990,"WHARF STREET","TMK: 4-6-001:001",2,"<p> Sample Date: 05/10/2024 <br> Station ID: SL_M1921_0510_SVOC_1 <br> Laboratory ID: 2405016-09 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 5/10/2024 <br> Sample ID: SL_M1921_0510_VOC_1 <br> Laboratory ID: 2405055-09RE1 <br> Analyte: Toluene & Styrene  <br> Result: 0.33 & 0.38 ug/L respectively <br> RL: 0.50 ug/L","WHARF","ST",NA,c(-156.6782241, 20.8717629)
"Property Water Samples",991,"DICKENSON STREET LOT 1","TMK: 4-6-026:071",2,"<p> Sample Date: 05/10/2024 <br> Station ID: SL_M2341_0510_SVOC_1 <br> Laboratory ID: 2405016-10 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 5/10/2024<br> Sample ID: SL_M2341_0510_VOC_1<br> Laboratory ID: 2405055-10RE1<br> Reporting value: All VOCs are ND (Non-detect)","DICKENSON","ST",NA,c(-156.6711328, 20.8803662)
"Property Water Samples",992,"1647 KUUIPO STREET","TMK: 4-5-027:043",2,"<p> Sample Date: 05/10/2024 <br> Station ID: SL_M0163_0510_SVOC_1 <br> Laboratory ID: 2405016-12 <br> Reporting value: All SVOCs are U (not detected at or above the reporting limit)  <p> Sample Date: 5/10/2024<br> Sample ID: SL_M0163_0510_VOC_1<br> Laboratory ID: 2405058-01<br> Reporting value: All VOCs are ND (Non-detect)","1647 KUUIPO","ST",NA,c(-156.6823464, 20.8986379)
